COM,status,mean_altitude,superficie,is_metropole,metropole_name
52522,Commune simple,316.0,1124.0,0,
09264,Commune simple,442.0,1289.0,0,
25544,Commune simple,518.0,1016.0,0,
92002,Sous-préfecture,66.0,956.0,0,
31114,Commune simple,400.0,586.0,0,
88156,Commune simple,287.0,767.0,0,
01090,Commune simple,291.0,1520.0,0,
27437,Commune simple,113.0,1293.0,0,
28308,Commune simple,172.0,1549.0,0,
43096,Commune simple,458.0,1002.0,0,
28347,Commune simple,115.0,1434.0,0,
71077,Commune simple,273.0,1367.0,0,
50370,Commune simple,23.0,1624.0,0,
26286,Commune simple,892.0,956.0,0,
63428,Commune simple,636.0,1881.0,0,
52017,Chef-lieu canton,345.0,5018.0,0,
38137,Commune simple,484.0,548.0,0,
44178,Commune simple,13.0,3451.0,0,
51393,Commune simple,229.0,1455.0,0,
57125,Commune simple,207.0,737.0,0,
62347,Commune simple,132.0,550.0,0,
24303,Commune simple,99.0,2081.0,0,
52231,Commune simple,257.0,905.0,0,
70216,Commune simple,310.0,970.0,0,
53041,Commune simple,93.0,778.0,0,
02803,Commune simple,64.0,850.0,0,
21622,Commune simple,199.0,463.0,0,
19146,Chef-lieu canton,400.0,3639.0,0,
73074,Commune simple,871.0,1219.0,0,
27340,Commune simple,129.0,943.0,0,
07175,Commune simple,1241.0,1555.0,0,
86187,Commune simple,131.0,3468.0,0,
61301,Commune simple,193.0,1140.0,0,
10182,Commune simple,275.0,833.0,0,
59124,Commune simple,50.0,652.0,0,
14047,Sous-préfecture,52.0,709.0,0,
39560,Commune simple,669.0,900.0,0,
02626,Commune simple,102.0,1810.0,0,
52217,Commune simple,356.0,666.0,0,
32062,Commune simple,134.0,871.0,0,
25623,Commune simple,655.0,797.0,0,
67458,Commune simple,156.0,997.0,0,
50394,Chef-lieu canton,23.0,1453.0,0,
87064,Chef-lieu canton,544.0,7049.0,0,
68044,Commune simple,928.0,2197.0,0,
27413,Chef-lieu canton,64.0,398.0,0,
70126,Commune simple,262.0,773.0,0,
25030,Chef-lieu canton,252.0,176.0,0,
08274,Commune simple,167.0,1056.0,0,
11260,Chef-lieu canton,554.0,1399.0,0,
10239,Commune simple,168.0,848.0,0,
56224,Commune simple,31.0,388.0,0,
67231,Commune simple,116.0,229.0,0,
57380,Commune simple,295.0,229.0,0,
24307,Commune simple,140.0,1503.0,0,
62162,Commune simple,29.0,403.0,0,
16153,Commune simple,16.0,543.0,0,
21230,Commune simple,338.0,1545.0,0,
06076,Commune simple,1127.0,1314.0,0,
27660,Commune simple,190.0,1131.0,0,
67200,Commune simple,148.0,447.0,0,
77288,Préfecture,63.0,800.0,0,
03161,Chef-lieu canton,473.0,3554.0,0,
17391,Commune simple,20.0,514.0,0,
60285,Commune simple,84.0,658.0,0,
17439,Commune simple,3.0,1573.0,0,
17111,Commune simple,34.0,1594.0,0,
10139,Commune simple,138.0,1040.0,0,
45246,Commune simple,132.0,687.0,0,
10151,Commune simple,112.0,1224.0,0,
40134,Commune simple,74.0,3641.0,0,
38294,Commune simple,289.0,805.0,0,
80752,Commune simple,66.0,681.0,0,
